,date,ticker,option_id,expiration,S0,div_yield,disc_rate,expiration_days,strike,implied_vol,delta,call/put,best_bid,best_offer,volume
444,2022-12-01,AAPL,142859004,2023-09-15,148.31,0.006135796642168431,0.048495016014244614,288,70.0,0.493286,-0.022411,P,0.55,0.72,8
443,2022-12-01,AAPL,141470480,2023-09-15,148.31,0.006135796642168431,0.048495016014244614,288,75.0,0.48226,-0.030015,P,0.74,0.99,1
442,2022-12-01,AAPL,141470481,2023-09-15,148.31,0.006135796642168431,0.048495016014244614,288,80.0,0.469062,-0.038711,P,1.0,1.25,1
441,2022-12-01,AAPL,141470482,2023-09-15,148.31,0.006135796642168431,0.048495016014244614,288,85.0,0.449848,-0.047315,P,1.15,1.56,0
449,2022-12-01,AAPL,141470483,2023-09-15,148.31,0.006135796642168431,0.048495016014244614,288,90.0,0.441822,-0.0608,P,1.67,1.9,17
440,2022-12-01,AAPL,141470484,2023-09-15,148.31,0.006135796642168431,0.048495016014244614,288,95.0,0.431481,-0.075797,P,2.09,2.43,31
477,2022-12-01,AAPL,141470457,2023-09-15,148.31,0.006135796642168431,0.048495016014244614,288,100.0,0.419013,-0.092369,P,2.65,2.9,695
476,2022-12-01,AAPL,141470458,2023-09-15,148.31,0.006135796642168431,0.048495016014244614,288,105.0,0.407851,-0.111841,P,3.2,3.6,22
475,2022-12-01,AAPL,141470459,2023-09-15,148.31,0.006135796642168431,0.048495016014244614,288,110.0,0.397645,-0.134453,P,4.0,4.3,239
452,2022-12-01,AAPL,141470460,2023-09-15,148.31,0.006135796642168431,0.048495016014244614,288,115.0,0.3878,-0.160132,P,4.85,5.2,333
451,2022-12-01,AAPL,141470461,2023-09-15,148.31,0.006135796642168431,0.048495016014244614,288,120.0,0.377185,-0.188572,P,5.85,6.15,85
450,2022-12-01,AAPL,141470462,2023-09-15,148.31,0.006135796642168431,0.048495016014244614,288,125.0,0.369615,-0.221359,P,7.05,7.4,3
439,2022-12-01,AAPL,141470463,2023-09-15,148.31,0.006135796642168431,0.048495016014244614,288,130.0,0.361066,-0.256971,P,8.4,8.75,10
426,2022-12-01,AAPL,141470464,2023-09-15,148.31,0.006135796642168431,0.048495016014244614,288,135.0,0.352484,-0.295882,P,9.95,10.25,88
425,2022-12-01,AAPL,141470465,2023-09-15,148.31,0.006135796642168431,0.048495016014244614,288,140.0,0.345435,-0.338056,P,11.65,12.1,97
424,2022-12-01,AAPL,141470466,2023-09-15,148.31,0.006135796642168431,0.048495016014244614,288,145.0,0.337724,-0.38316,P,13.65,14.0,22
460,2022-12-01,AAPL,141470440,2023-09-15,148.31,0.006135796642168431,0.048495016014244614,288,155.0,0.333944,0.542322,C,16.5,16.95,5
459,2022-12-01,AAPL,141470441,2023-09-15,148.31,0.006135796642168431,0.048495016014244614,288,160.0,0.327819,0.497806,C,14.3,14.6,15
458,2022-12-01,AAPL,141470442,2023-09-15,148.31,0.006135796642168431,0.048495016014244614,288,165.0,0.321237,0.452772,C,12.2,12.5,13
457,2022-12-01,AAPL,141470443,2023-09-15,148.31,0.006135796642168431,0.048495016014244614,288,170.0,0.315741,0.408437,C,10.3,10.7,25
456,2022-12-01,AAPL,141470444,2023-09-15,148.31,0.006135796642168431,0.048495016014244614,288,175.0,0.310918,0.365451,C,8.7,9.05,25
455,2022-12-01,AAPL,141470445,2023-09-15,148.31,0.006135796642168431,0.048495016014244614,288,180.0,0.305429,0.323334,C,7.2,7.6,49
454,2022-12-01,AAPL,141470446,2023-09-15,148.31,0.006135796642168431,0.048495016014244614,288,185.0,0.302689,0.285512,C,6.05,6.4,13
453,2022-12-01,AAPL,141470447,2023-09-15,148.31,0.006135796642168431,0.048495016014244614,288,190.0,0.297561,0.247777,C,5.0,5.2,185
461,2022-12-01,AAPL,141470448,2023-09-15,148.31,0.006135796642168431,0.048495016014244614,288,195.0,0.294938,0.21511,C,4.1,4.35,1
473,2022-12-01,AAPL,141470449,2023-09-15,148.31,0.006135796642168431,0.048495016014244614,288,200.0,0.293016,0.186004,C,3.4,3.6,233
483,2022-12-01,AAPL,141470450,2023-09-15,148.31,0.006135796642168431,0.048495016014244614,288,205.0,0.290245,0.158815,C,2.75,2.96,2
474,2022-12-01,AAPL,141470451,2023-09-15,148.31,0.006135796642168431,0.048495016014244614,288,210.0,0.28747,0.134425,C,2.2,2.42,818
492,2022-12-01,AAPL,141528516,2023-09-15,148.31,0.006135796642168431,0.048495016014244614,288,220.0,0.284167,0.095846,C,1.43,1.62,30
491,2022-12-01,AAPL,141528517,2023-09-15,148.31,0.006135796642168431,0.048495016014244614,288,230.0,0.282386,0.067771,C,0.93,1.09,0
490,2022-12-01,AAPL,142291791,2023-09-15,148.31,0.006135796642168431,0.048495016014244614,288,240.0,0.284857,0.049908,C,0.58,0.85,0
489,2022-12-01,AAPL,142291792,2023-09-15,148.31,0.006135796642168431,0.048495016014244614,288,250.0,0.286484,0.036305,C,0.4,0.6,0
488,2022-12-01,AAPL,144084639,2023-09-15,148.31,0.006135796642168431,0.048495016014244614,288,260.0,0.288066,0.02635,C,0.24,0.46,0
487,2022-12-01,AAPL,144543837,2023-09-15,148.31,0.006135796642168431,0.048495016014244614,288,270.0,0.286175,0.017848,C,0.15,0.3,0
486,2022-12-01,AAPL,144543838,2023-09-15,148.31,0.006135796642168431,0.048495016014244614,288,280.0,0.294686,0.01496,C,0.14,0.24,2
485,2022-12-01,AAPL,144543839,2023-09-15,148.31,0.006135796642168431,0.048495016014244614,288,290.0,0.298717,0.011584,C,0.01,0.28,0
493,2022-12-01,AAPL,144543840,2023-09-15,148.31,0.006135796642168431,0.048495016014244614,288,300.0,0.295378,0.007578,C,0.05,0.13,70
1510,2022-12-02,AAPL,142859004,2023-09-15,147.81,0.006156552330694811,0.048612955599241045,287,70.0,0.493218,-0.022675,P,0.43,0.85,0
1522,2022-12-02,AAPL,141470480,2023-09-15,147.81,0.006156552330694811,0.048612955599241045,287,75.0,0.485254,-0.031013,P,0.77,1.03,11
1509,2022-12-02,AAPL,141470481,2023-09-15,147.81,0.006156552330694811,0.048612955599241045,287,80.0,0.470777,-0.039632,P,1.01,1.3,0
1508,2022-12-02,AAPL,141470482,2023-09-15,147.81,0.006156552330694811,0.048612955599241045,287,85.0,0.455605,-0.049567,P,1.29,1.6,0
1507,2022-12-02,AAPL,141470483,2023-09-15,147.81,0.006156552330694811,0.048612955599241045,287,90.0,0.441263,-0.061442,P,1.67,1.92,10
1506,2022-12-02,AAPL,141470484,2023-09-15,147.81,0.006156552330694811,0.048612955599241045,287,95.0,0.427493,-0.075418,P,2.0,2.42,12
1521,2022-12-02,AAPL,141470457,2023-09-15,147.81,0.006156552330694811,0.048612955599241045,287,100.0,0.418037,-0.093263,P,2.67,2.9,57
1520,2022-12-02,AAPL,141470458,2023-09-15,147.81,0.006156552330694811,0.048612955599241045,287,105.0,0.406275,-0.112747,P,3.2,3.6,0
1518,2022-12-02,AAPL,141470459,2023-09-15,147.81,0.006156552330694811,0.048612955599241045,287,110.0,0.396805,-0.135953,P,4.0,4.35,3
1517,2022-12-02,AAPL,141470460,2023-09-15,147.81,0.006156552330694811,0.048612955599241045,287,115.0,0.387474,-0.162194,P,4.85,5.3,6
1516,2022-12-02,AAPL,141470461,2023-09-15,147.81,0.006156552330694811,0.048612955599241045,287,120.0,0.377242,-0.191153,P,5.9,6.25,11
1515,2022-12-02,AAPL,141470462,2023-09-15,147.81,0.006156552330694811,0.048612955599241045,287,125.0,0.368635,-0.223962,P,7.05,7.5,10
1514,2022-12-02,AAPL,141470463,2023-09-15,147.81,0.006156552330694811,0.048612955599241045,287,130.0,0.360359,-0.26012,P,8.4,8.9,13
1513,2022-12-02,AAPL,141470464,2023-09-15,147.81,0.006156552330694811,0.048612955599241045,287,135.0,0.35086,-0.299313,P,9.95,10.35,1
1512,2022-12-02,AAPL,141470465,2023-09-15,147.81,0.006156552330694811,0.048612955599241045,287,140.0,0.343475,-0.34204,P,11.7,12.15,1
